0.119	-0.090	-1.443	-0.003	-0.019	0.015
0.061	-0.079	-1.392	-0.003	-0.017	0.015
0.062	-0.100	-1.376	-0.004	-0.017	0.015
0.062	-0.106	-1.323	-0.003	-0.017	0.015
0.041	-0.074	-1.486	-0.001	-0.016	0.015
0.045	-0.076	-1.521	-0.000	-0.017	0.015
0.062	-0.026	-1.588	0.001	-0.018	0.014
0.087	-0.020	-1.559	0.001	-0.018	0.013
0.146	-0.030	-1.529	0.001	-0.020	0.012
0.109	0.002	-1.682	0.002	-0.020	0.011
0.162	-0.040	-1.684	0.003	-0.021	0.011
0.169	-0.033	-1.586	0.003	-0.022	0.010
0.199	-0.075	-1.555	0.002	-0.023	0.010
0.189	-0.038	-1.558	0.001	-0.023	0.010
0.180	-0.083	-1.507	0.000	-0.022	0.010
0.190	-0.089	-1.570	0.000	-0.022	0.011
0.172	-0.108	-1.583	0.000	-0.022	0.012
0.183	-0.113	-1.528	-0.000	-0.022	0.013
0.115	-0.081	-1.561	-0.001	-0.021	0.014
0.136	-0.084	-1.557	-0.002	-0.020	0.015
0.057	-0.052	-1.634	-0.002	-0.019	0.016
0.104	-0.104	-1.601	-0.002	-0.018	0.016
0.070	-0.076	-1.514	-0.001	-0.018	0.017
0.073	-0.083	-1.552	-0.002	-0.019	0.016
0.078	-0.063	-1.607	-0.002	-0.019	0.015
0.080	-0.066	-1.592	-0.001	-0.019	0.014
0.105	-0.037	-1.510	0.000	-0.019	0.013
0.121	-0.068	-1.547	0.000	-0.019	0.013
0.147	-0.061	-1.519	0.000	-0.020	0.012
0.170	-0.046	-1.455	0.001	-0.020	0.011
0.157	-0.062	-1.526	0.000	-0.021	0.010
0.148	-0.035	-1.539	0.002	-0.020	0.010
0.135	-0.071	-1.420	0.002	-0.020	0.010
0.162	-0.088	-1.386	0.001	-0.019	0.011
0.149	-0.060	-1.417	0.001	-0.019	0.012
0.120	-0.031	-1.481	0.001	-0.018	0.012
0.102	-0.052	-1.412	0.000	-0.018	0.013
0.080	-0.065	-1.491	-0.000	-0.018	0.014
0.043	-0.043	-1.487	-0.001	-0.017	0.015
0.037	-0.075	-1.598	-0.001	-0.017	0.017
0.022	-0.050	-1.499	-0.002	-0.016	0.017
0.061	-0.054	-1.384	-0.003	-0.016	0.017
0.032	-0.070	-1.433	-0.003	-0.015	0.017
0.038	-0.056	-1.382	-0.002	-0.015	0.017
0.056	-0.082	-1.404	-0.003	-0.016	0.016
0.063	-0.044	-1.472	-0.002	-0.017	0.015
0.116	-0.048	-1.660	-0.002	-0.019	0.014
0.129	-0.065	-1.546	-0.001	-0.020	0.013
0.179	-0.063	-1.614	0.001	-0.022	0.012
