3.790	0.010	-0.972	0.042	-0.037	0.029
3.718	-0.182	-0.167	0.043	-0.023	0.025
3.934	0.142	-0.661	0.049	-0.038	0.014
3.723	-0.118	-1.024	0.051	-0.043	0.013
3.643	-0.304	-1.010	0.051	-0.042	0.015
3.678	-0.037	-0.928	0.056	-0.038	0.013
3.736	0.103	-1.059	0.048	-0.042	0.015
3.605	-0.123	-1.564	0.044	-0.049	0.025
3.470	-0.038	-1.000	0.054	-0.034	0.026
3.416	0.109	-1.236	0.058	-0.019	0.031
3.395	0.224	-0.857	0.058	-0.011	0.037
3.360	0.030	-1.409	0.059	-0.026	0.039
3.317	0.077	-2.365	0.062	-0.035	0.044
3.260	-0.064	-2.123	0.066	-0.030	0.043
3.396	0.425	-1.715	0.073	-0.023	0.038
3.577	0.096	-1.498	0.069	-0.024	0.034
3.330	0.153	-1.695	0.072	-0.023	0.032
3.519	-0.097	-1.333	0.082	-0.026	0.019
3.542	-0.097	-1.255	0.085	-0.025	0.019
3.745	-0.348	-1.155	0.085	-0.035	0.012
3.588	0.056	-1.021	0.091	-0.034	0.005
3.541	-0.497	-0.879	0.096	-0.027	0.007
3.588	-0.316	-0.249	0.102	-0.015	0.007
3.623	-0.194	-0.267	0.108	-0.015	0.004
3.661	-0.459	-0.878	0.107	-0.023	0.012
3.659	-0.408	-0.876	0.107	-0.027	0.002
4.116	-0.781	-1.292	0.112	-0.040	0.000
4.514	-1.875	-1.990	0.111	-0.051	0.012
4.227	-2.275	-3.797	0.109	-0.073	0.022
3.866	-1.945	-4.093	0.121	-0.078	0.022
4.273	-2.239	-4.365	0.113	-0.078	0.033
4.552	-2.644	-3.663	0.110	-0.074	0.039
4.504	-2.795	-3.867	0.098	-0.069	0.051
4.835	-3.376	-3.622	0.101	-0.074	0.048
4.885	-3.828	-4.753	0.099	-0.088	0.057
5.178	-4.530	-4.732	0.105	-0.099	0.054
5.035	-4.618	-6.222	0.102	-0.111	0.062
5.149	-4.948	-6.747	0.101	-0.132	0.060
5.067	-4.730	-7.311	0.097	-0.134	0.073
5.216	-4.725	-6.355	0.101	-0.122	0.062
