Drag (N),Lift (N),Time (s)
-2.449,4.632,0
-2.412423892046,4.60804704195031,0.001
-2.37595622283546,4.58413699897589,0.002
-2.33967196093789,4.5603330853738,0.003
-2.30365983625909,4.53670998844421,0.004
-2.26797469314181,4.51330965130129,0.005
-2.23264230493794,4.49021997771692,0.006
-2.1977956708923,4.46749126403359,0.007
-2.16350457078522,4.44515622993703,0.008
-2.12983961385641,4.42327702561844,0.009
-2.09683023883312,4.40189307177299,0.01
-2.0645709117189,4.38107504423285,0.011
-2.03310272505098,4.36081491795349,0.012
-2.00249203041719,4.34118651096571,0.013
-1.97277861038523,4.3222475903672,0.014
-1.94400407699745,4.30402387811384,0.015
-1.91624540712062,4.28653265226046,0.016
-1.88950723310065,4.26985576703881,0.017
-1.86383111293616,4.25395510841436,0.018
-1.83925404038025,4.23881072395526,0.019
-1.81580977539319,4.22449865510736,0.02
-1.79351399984646,4.2109878744567,0.021
-1.77236175265292,4.19828395405955,0.022
-1.75238199612818,4.18641538382612,0.023
-1.73359905947854,4.17538049038452,0.024
-1.71599291764915,4.1651837215723,0.025
-1.69953894834847,4.15582373166714,0.026
-1.6842687871342,4.14729066656087,0.027
-1.67017528860501,4.13954136830753,0.028
-1.65722487854931,4.13258582329698,0.029
-1.64541055008335,4.12637417417929,0.03
-1.63471910405606,4.12092880072116,0.031
-1.62512195163161,4.11618467814705,0.032
-1.61656447894675,4.11213250872759,0.033
-1.60904327780383,4.10874115991715,0.034
-1.60249534167955,4.10599644930922,0.035
-1.59686786818989,4.10381094352035,0.036
-1.59212565085175,4.10216941038095,0.037
-1.58822100309441,4.10104074967771,0.038
-1.5851102063749,4.1003766383144,0.039
-1.58273142325308,4.10011912769217,0.04
-1.58103082167883,4.10027026936038,0.041
-1.57996102814668,4.10073789215416,0.042
-1.57946119588584,4.10148274606776,0.043
-1.57946846252877,4.10248548246032,0.044
-1.57996634546326,4.103669999431,0.045
-1.58087716601486,4.10498773976277,0.046
-1.58214238413309,4.10642904729801,0.047
-1.5837219900444,4.10792971671733,0.048
-1.58556689250345,4.10945504336273,0.049
-1.58760121670827,4.11100318907994,0.05
-1.5897923937036,4.11251672359383,0.051
-1.59207399926076,4.11396829457126,0.052
-1.59439659416065,4.11536380053615,0.053
-1.59673761609614,4.11664727281342,0.054
-1.59904095191526,4.117814232876,0.055
-1.60124906374706,4.11885224057315,0.056
-1.60332667366067,4.11975168329541,0.057
-1.60526001886043,4.12050679669724,0.058
-1.60696556598959,4.12112774399686,0.059
-1.60843510735288,4.12158832041062,0.06
-1.60965630525239,4.12189409657268,0.061
-1.61058684824565,4.12210484892859,0.062
-1.61119329575297,4.12218023409155,0.063
-1.61147958835327,4.12214451715456,0.064
-1.61144156696028,4.12199672023156,0.065
-1.61105622065226,4.12171663585747,0.066
-1.61027990780119,4.12131381741784,0.067
-1.60912854916093,4.12083108590347,0.068
-1.60763709674506,4.12024825929604,0.069
-1.60575385583317,4.11957955059429,0.07
-1.60347558622289,4.11883462364772,0.071
-1.60080746394161,4.11802770878042,0.072
-1.59773870898671,4.11711428478564,0.073
-1.59425706126773,4.11615285219057,0.074
-1.59036380106182,4.1151207040606,0.075
-1.586093204521,4.11402865249268,0.076
-1.58141560006873,4.11288663649972,0.077
-1.57632552184535,4.11171840367488,0.078
-1.57086926409535,4.11051500273021,0.079
-1.56506287645083,4.1092729078148,0.08
-1.55889899189798,4.10797710889365,0.081
-1.55239734844716,4.10665450786314,0.082
-1.54557442118369,4.10531368344687,0.083
-1.53846676435755,4.10395426198872,0.084
-1.53106349854431,4.102614710356,0.085
-1.52338685756819,4.10134640502738,0.086
-1.51548327561075,4.10009898180211,0.087
-1.50734893184386,4.09890947608809,0.088
-1.49899028643188,4.09773694581125,0.089
-1.49047512608153,4.09661067831626,0.09
-1.48179013686248,4.09552320839346,0.091
-1.47299262571576,4.09451752169514,0.092
-1.4640579582868,4.09355373964904,0.093
-1.45505633026128,4.09273353198042,0.094
-1.44599546814156,4.09198942966283,0.095
-1.43690343839977,4.09136289812555,0.096
-1.42774823240262,4.09079540811112,0.097
-1.41857803106635,4.09031837727066,0.098
-1.4094196166829,4.08991406609981,0.099
-1.40030151156226,4.08964643273051,0.1
-1.39122108398981,4.08947709597103,0.101
-1.38217161592847,4.08944157961882,0.102
-1.37318438189884,4.08951365484651,0.103
-1.36430262130598,4.08969118281014,0.104
-1.3555290760416,4.08994194630703,0.105
-1.34689490404985,4.09030443871845,0.106
-1.33846455469978,4.09076464583117,0.107
-1.33027377684021,4.09132666386894,0.108
-1.32234190645566,4.09199603889798,0.109
-1.31471626786506,4.09276429479954,0.11
-1.30744773928363,4.0936054689745,0.111
-1.30055194742034,4.09451892084815,0.112
-1.29410367218662,4.09555862461906,0.113
-1.28813385889727,4.09667825924883,0.114
-1.28264980961921,4.09783864042437,0.115
-1.27770650983837,4.09905536808721,0.116
-1.27330543778879,4.10033149233796,0.117
-1.26948850323832,4.10165037304679,0.118
-1.26626307245144,4.1030281070344,0.119
-1.26365530530118,4.10451107775464,0.12
-1.26163787321863,4.10602987325461,0.121
-1.26024232394143,4.10760820993446,0.122
-1.25948730847121,4.10922717263309,0.123
-1.25935118278507,4.11086866618677,0.124
-1.25979049871111,4.11253618634229,0.125
-1.26078780767615,4.11422220163711,0.126
-1.2623755437874,4.11589315479376,0.127
-1.26449912017878,4.11756415056944,0.128
-1.26709129356377,4.11922195738921,0.129
-1.27013311849947,4.120825878586,0.13
-1.27357780809322,4.12236144143993,0.131
-1.27733971700185,4.12379946623459,0.132
-1.28137228742529,4.12516096368208,0.133
-1.28562743050107,4.12636706333839,0.134
-1.29000673274653,4.12743666801448,0.135
-1.29443059765421,4.12832409716645,0.136
-1.29882933281686,4.12901490248908,0.137
-1.30311921750298,4.12947930539208,0.138
-1.30720002066157,4.12968502996841,0.139
-1.31098040650789,4.12963161338879,0.14
-1.31438061295891,4.12932395071553,0.141
-1.31732183532901,4.12872022626588,0.142
-1.31971173705365,4.12782899041013,0.143
-1.32147052656209,4.12664388498477,0.144
-1.32252071190473,4.12512221481142,0.145
-1.3227912167601,4.12329084415339,0.146
-1.32222443906603,4.12114798259893,0.147
-1.32073649204864,4.11866309884636,0.148
-1.31827414837908,4.11589410818076,0.149
-1.31480266077551,4.11283495649019,0.15
-1.31028317404615,4.10950280234998,0.151
-1.30467366612604,4.10589388618552,0.152
-1.29795796784211,4.10202752106578,0.153
-1.2901215322429,4.09790430129637,0.154
-1.28112330058595,4.09355129075261,0.155
-1.27095918545652,4.08899305000713,0.156
-1.25962844604075,4.0842416899428,0.157
-1.24713318109765,4.07932439163697,0.158
-1.23344782841381,4.07425018885256,0.159
-1.21860887777203,4.06904587494132,0.16
-1.2026045929974,4.06373310733197,0.161
-1.18543652445182,4.05832650640949,0.162
-1.16712117964064,4.05282587316771,0.163
-1.14772890735033,4.04724585830948,0.164
-1.12726948434692,4.04161529427482,0.165
-1.10576133910472,4.03596776183926,0.166
-1.08327534494902,4.03037294143303,0.167
-1.05988666212263,4.02484183265215,0.168
-1.0356738360933,4.01942841250906,0.169
-1.01067294306521,4.01415536905518,0.17
-0.985004159242671,4.00906323982835,0.171
-0.958765137937109,4.00417157433495,0.172
-0.932046673836185,3.99953382357812,0.173
-0.904937628110595,3.99521236241175,0.174
-0.877546327983904,3.99120751361432,0.175
-0.849992663503278,3.98757646519231,0.176
-0.822332168790978,3.98436150531121,0.177
-0.794697395095964,3.98157649133194,0.178
-0.767171894043789,3.97924512391466,0.179
-0.739838985224644,3.97739604598702,0.18
-0.712808548091824,3.976094038039,0.181
-0.686163387542113,3.97536673687256,0.182
-0.660005188844362,3.97520036313771,0.183
-0.634425430228434,3.97561507386843,0.184
-0.609526609206487,3.97664852382889,0.185
-0.585420882827431,3.9782655085528,0.186
-0.562197483020469,3.98047343127544,0.187
-0.539950164978048,3.98333625476098,0.188
-0.518784258985364,3.98680986617603,0.189
-0.498782464730592,3.99095658390566,0.19
-0.47999260793939,3.99570393248066,0.191
-0.46250954469674,4.00106967338291,0.192
-0.446330406869931,4.00697985965966,0.193
-0.43150178484122,4.01346753870224,0.194
-0.418052531807125,4.02041644074469,0.195
-0.405987412368923,4.0278529949981,0.196
-0.39529110233754,4.0357155415119,0.197
-0.385972099889039,4.04406935777451,0.198
