Drag (N),Lift (N),Time (s)
3.23,-3.377,0
3.23583192820338,-3.32675185508342,0.001
3.24166012393029,-3.27647577392248,0.002
3.24743701186317,-3.22609681909091,0.003
3.25314361753921,-3.17557244446615,0.004
3.25876018926103,-3.12484865096034,0.005
3.26427003752464,-3.07390056897205,0.006
3.26962347020573,-3.02267224235376,0.007
3.27478316939907,-2.97111469782841,0.008
3.279707732604,-2.91920451920866,0.009
3.28436501065131,-2.86686845993778,0.01
3.28871639117733,-2.81407638615572,0.011
3.29268424193962,-2.76079017574723,0.012
3.29626281917989,-2.70695545666164,0.013
3.29940333386369,-2.65252489917925,0.014
3.30202775780585,-2.597480821907,0.015
3.30409384007159,-2.54179199845928,0.016
3.30557357731417,-2.4854558906136,0.017
3.30644292298083,-2.42845264945298,0.018
3.30664404543317,-2.37074149154283,0.019
3.30611402566789,-2.31230614505367,0.02
3.30486022743128,-2.25311433896692,0.021
3.30284214337458,-2.19318783315582,0.022
3.29997374149397,-2.13252642255935,0.023
3.29625299759573,-2.07108309015126,0.024
3.29165005012565,-2.00888165223302,0.025
3.28615334544039,-1.9459429543148,0.026
3.27969733217283,-1.88224763508179,0.027
3.27226324623574,-1.81783301458205,0.028
3.26384937833695,-1.752720717723,0.029
3.25441818991902,-1.68695813809692,0.03
3.24397832182232,-1.62059647556634,0.031
3.23254721873734,-1.55366991802089,0.032
3.22013155173576,-1.48625497151004,0.033
3.20670201967394,-1.4184002487847,0.034
3.19227618286723,-1.35017588719372,0.035
3.17688142811642,-1.28163350505579,0.036
3.16051975416931,-1.21286384214925,0.037
3.14322274122393,-1.14390647757793,0.038
3.1250187201736,-1.07481989460879,0.039
3.1059515047611,-1.00569565766658,0.04
3.08600135858754,-0.936540512934274,0.041
3.06523448079024,-0.867481399034711,0.042
3.04368338193568,-0.798546345435903,0.043
3.02136126107996,-0.729802084603483,0.044
2.99831650822137,-0.66134280293759,0.045
2.97460763869291,-0.59318350709401,0.046
2.95026695831248,-0.525397016133257,0.047
2.92531106414945,-0.458015322916566,0.048
2.8998141502264,-0.391111256946799,0.049
2.87381865001029,-0.324724834207583,0.05
2.84734986518625,-0.258916002934577,0.051
2.82048256732432,-0.193730456306622,0.052
2.79329179417771,-0.129201085852888,0.053
2.76584401143824,-0.0653799319070027,0.054
2.73817121133326,-0.0022821939840544,0.055
2.71035645861723,0.0600254691122579,0.056
2.68247373023218,0.121530198926135,0.057
2.65457655671857,0.182135167357561,0.058
2.6267263853216,0.241863907764729,0.059
2.59897633873213,0.30068748405399,0.06
2.57141701176384,0.358540772786273,0.061
2.54409569581429,0.415455057839292,0.062
2.51708801870672,0.471339152014021,0.063
2.49042154400916,0.526231951372449,0.064
2.46415962178248,0.580092717094643,0.065
2.43837507519433,0.63290853870846,0.066
2.41308325792549,0.684704187445745,0.067
2.38833501626348,0.735453231540823,0.068
2.36415820247922,0.785207335705958,0.069
2.34061222143946,0.833934841083981,0.07
2.31770794048517,0.881698777649502,0.071
2.29547185663457,0.928491988075869,0.072
2.27389605922862,0.97438404872715,0.073
2.25297931546621,1.01940092714132,0.074
2.23274517028999,1.06358107580366,0.075
2.21321273766511,1.10698203994548,0.076
2.19441711666107,1.14961265912729,0.077
2.17632077441576,1.19156759021137,0.078
2.15892483233181,1.23285796110592,0.079
2.14218050423479,1.27352856001587,0.08
2.12610070850426,1.31362143219714,0.081
2.11068021736994,1.35319592757588,0.082
2.09586502813904,1.39231407079278,0.083
2.08164961750345,1.43098297703982,0.084
2.06799478661127,1.46926358817393,0.085
2.05488605440457,1.50717397236992,0.086
2.0422691536287,1.54477483260266,0.087
2.03008344820034,1.58212149070885,0.088
2.0183341760082,1.61923524158917,0.089
2.00700375229486,1.65611639504639,0.09
1.99603138930285,1.69278952122561,0.091
1.98538896607563,1.7292659112377,0.092
1.97501266827914,1.76557593239797,0.093
1.96486130004567,1.8017043290055,0.094
1.9549203564884,1.83765334565328,0.095
1.94512290068028,1.87343254695606,0.096
1.93544650713629,1.90904050969372,0.097
1.9258092681553,1.94450806669226,0.098
1.91617522987085,1.97982531902416,0.099
1.90650212910183,2.01498270075991,0.1
1.89673018662614,2.0499507605122,0.101
1.88678982267639,2.08473592176882,0.102
1.87659359553202,2.11934712431303,0.103
1.86613015265759,2.15375343899329,0.104
1.85531627499772,2.18792863145464,0.105
1.8440639537662,2.22188170148594,0.106
1.83230789662892,2.25560194300094,0.107
1.81999956555318,2.28906946418322,0.108
1.80711336530807,2.3222391552599,0.109
1.79359318680524,2.35510175202625,0.11
1.77936828025593,2.38761079651875,0.111
1.76444573575579,2.41972822053033,0.112
1.74885429232426,2.45140082181722,0.113
1.73255232646662,2.48252237456733,0.114
1.71552749424131,2.51304473987981,0.115
1.69780030255199,2.54294221269784,0.116
1.67940278567822,2.5721551970046,0.117
1.66032488144217,2.60063640486854,0.118
1.64053388818752,2.62835644183927,0.119
1.62008217205627,2.65520317848049,0.12
1.59902576516,2.68114921769712,0.121
1.57736617074296,2.70609607880841,0.122
1.55512823805489,2.72997618116587,0.123
1.53243444884017,2.75272123492432,0.124
1.50935155600335,2.77417938892168,0.125
1.48591784464484,2.79431069883629,0.126
1.46221101517947,2.81300016128385,0.127
1.43835397004298,2.83011488613695,0.128
1.41442894425591,2.84555963924602,0.129
1.39048675499276,2.85924396364322,0.13
1.36665375230097,2.871092261106,0.131
1.34302029814956,2.88099777885357,0.132
1.31962154388695,2.88889704599908,0.133
1.29656176264761,2.89473173534916,0.134
1.27396064475093,2.89842366828717,0.135
1.25188214046266,2.89991066209792,0.136
1.23039879979398,2.89914540126005,0.137
1.20963174597993,2.89608697727413,0.138
1.18963118841335,2.89064581580439,0.139
1.1704623123623,2.88281341009659,0.14
1.15221145095004,2.87250880859824,0.141
1.13499447460271,2.85966065294655,0.142
1.11885633369236,2.84425681617157,0.143
1.10384799126122,2.82624389863852,0.144
1.09007237191381,2.80557683703262,0.145
1.07759868760307,2.78221393318195,0.146
1.06645225945186,2.7560974984002,0.147
1.05673354964478,2.72718855799019,0.148
1.04851953737253,2.69543489322954,0.149
1.04184986124141,2.66078060016148,0.15
1.0367808476106,2.62318543547049,0.151
1.03341144348094,2.58259620629119,0.152
1.03175162725415,2.53896988789564,0.153
1.03182527111574,2.49226460640696,0.154
1.03367575778176,2.44242694112112,0.155
1.03734649504011,2.38942132679395,0.156
1.04285270079986,2.33322495564745,0.157
1.05019036501325,2.27380171256175,0.158
1.05939670847714,2.21116029422516,0.159
1.07047652821609,2.14526025673497,0.16
1.08342223975491,2.07608431541509,0.161
1.09821760058425,2.00363515485834,0.162
1.11486877083234,1.92788890176958,0.163
1.13336338309693,1.84889753235556,0.164
1.15368244968036,1.76663448675766,0.165
1.17578755294748,1.68112651359533,0.166
1.19961375634989,1.59239379566602,0.167
1.22516419474093,1.50046076069354,0.168
1.25237891624459,1.40537968903458,0.169
1.28120750247643,1.30713140574718,0.17
1.31158696228926,1.20580984268814,0.171
1.34346518571062,1.10141591880781,0.172
1.37677822290387,0.993996042389891,0.173
1.41147064937539,0.883576135650886,0.174
1.44749645061728,0.770218482483322,0.175
1.48477528672872,0.653965237208509,0.176
1.52322434190177,0.53486001255526,0.177
1.56274443417337,0.412977530907593,0.178
1.60328311363717,0.28836587851665,0.179
1.64475566551544,0.16110835792064,0.18
1.68710330124107,0.0312650061197179,0.181
1.73022504357486,-0.101076687414074,0.182
1.77402414858079,-0.235844089143324,0.183
1.81842884173995,-0.372958887240523,0.184
1.86334319487976,-0.512309964999339,0.185
1.90868688007874,-0.653810543968851,0.186
1.95435359845145,-0.797330594566295,0.187
2.00026636430884,-0.942765101040359,0.188
2.0463456687404,-1.09000319632844,0.189
2.09247628980452,-1.23890515321491,0.19
2.13854348561781,-1.38931312708533,0.191
2.18446001656023,-1.54106752486526,0.192
2.23013585055948,-1.69400436689411,0.193
2.27547879795263,-1.84797466887901,0.194
2.3203998393951,-2.00279394857812,0.195
2.36479294868102,-2.15826821679029,0.196
2.40855896062248,-2.31423062481012,0.197
2.45161131832567,-2.4704916873489,0.198
2.49387565028783,-2.62689283842468,0.199
2.53527010396712,-2.7832529935191,0.2
2.57571254393496,-2.93935923058417,0.201
2.61512617329401,-3.09502211683659,0.202
2.65343982899424,-3.25004682876899,0.203
2.69059180520727,-3.40423969908813,0.204
2.72650516427125,-3.55741768111866,0.205
2.761148532458,-3.70934794645553,0.206
2.79446304742738,-3.85988927796914,0.207
2.82642649116218,-4.0088471778435,0.208
2.85701077238115,-4.1560338715045,0.209
2.88617647338948,-4.30125213075345,0.21
2.91389349908508,-4.44432774107249,0.211
2.94018831190261,-4.58506578736881,0.212
2.96501267772847,-4.7232905448633,0.213
2.98830168412512,-4.85878135831116,0.214
3.01005336519158,-4.99131122220762,0.215
3.03025479778578,-5.12069084412442,0.216
3.04889273383063,-5.24676736389882,0.217
3.06595487267499,-5.36940129391848,0.218
3.0814767609841,-5.48845166775154,0.219
3.09550865269967,-5.60381502988901,0.22
3.10808685779944,-5.71535714957065,0.221
3.11922575898258,-5.82299159637099,0.222
3.12895893789623,-5.92662753935007,0.223
3.13734705702259,-6.02615986818114,0.224
3.14439807843432,-6.12151564313185,0.225
3.1501280203234,-6.21258611936588,0.226
3.15458463782067,-6.29932107254192,0.227
3.15780829789538,-6.38165289002917,0.228
3.1598272140473,-6.45948067160612,0.229
3.16066693989655,-6.53277330586363,0.23
3.16039246571871,-6.60149153524364,0.231
3.15903191122578,-6.66561706137676,0.232
3.15663795892915,-6.72513659623571,0.233
3.15330226339028,-6.7800361063732,0.234
3.14905939598108,-6.83037405007167,0.235
3.14395472962514,-6.87615062350579,0.236
3.13808235213638,-6.91740855748876,0.237
3.13150113999255,-6.9542216761061,0.238
3.12425910717112,-6.98665890917014,0.239
3.11643686230448,-7.01479288632897,0.24
3.10809169809215,-7.03874496451476,0.241
3.0992893303173,-7.05859484804395,0.242
3.09010099880054,-7.07444439450445,0.243
3.08059253254281,-7.0864175071956,0.244
3.07083229076646,-7.09466421200193,0.245
3.06088101887672,-7.09929763608146,0.246
3.05080804600651,-7.10047829574697,0.247
3.04071877529947,-7.09834769712823,0.248
3.03064218813738,-7.09305662423515,0.249
3.02063555701092,-7.0847851931859,0.25
3.01076967267455,-7.07364558596139,0.251
3.00110677884014,-7.05982546834981,0.252
2.99167612053394,-7.04346290310705,0.253
2.98254873286147,-7.02472924892312,0.254
2.97377745465212,-7.00378179981452,0.255
2.96538781728499,-6.98075534611567,0.256
2.95743167192987,-6.95584753043889,0.257
2.94996844930763,-6.92920079359668,0.258
2.94305034178632,-6.90098498148683,0.259
2.93667811817578,-6.87137271911446,0.26
2.93086177294278,-6.84053068741402,0.261
2.92567453409631,-6.80862116153403,0.262
2.92113898703491,-6.77578736562703,0.263
2.91724511715192,-6.74217850855914,0.264
2.91399846660181,-6.70797331638199,0.265
2.91142004957815,-6.67328631722017,0.266
2.90953895717437,-6.63827384348074,0.267
2.90837349373573,-6.60306280367844,0.268
2.90790990299079,-6.56780110743446,0.269
2.90815714438681,-6.53261953895427,0.27
2.90913683251546,-6.49761918514793,0.271
2.91084505182444,-6.46293868656686,0.272
2.91328088488237,-6.42864821376894,0.273
2.91643842948626,-6.39486322322349,0.274
2.92032236942504,-6.36165760480183,0.275
2.92491456386957,-6.32911626558698,0.276
2.93019580955351,-6.29730131548098,0.277
2.93614570687504,-6.26625696546562,0.278
2.94275485481716,-6.23604066149284,0.279
2.94997388322314,-6.20672116353961,0.28
2.95779126778714,-6.17831058645252,0.281
2.96617510079011,-6.15083393642247,0.282
2.97511293865349,-6.1243147623321,0.283
2.98457038529269,-6.09873447860226,0.284
2.99451192607939,-6.07411122717143,0.285
3.0049027275838,-6.05043263988243,0.286
3.01570905521846,-6.02768330928113,0.287
3.02690840605205,-6.00585369265538,0.288
3.03845811054448,-5.98490741524285,0.289
3.0503225096828,-5.96481689273566,0.29
3.06246292977755,-5.94553167170305,0.291
3.07486258440553,-5.92701619112119,0.292
3.08747858357796,-5.90924727504928,0.293
3.1002651363247,-5.89216763908355,0.294
3.11319434858144,-5.87571353770162,0.295
3.12622619862555,-5.85983563957268,0.296
3.13931368772279,-5.84448407032749,0.297
3.15246041325022,-5.82957573830193,0.298
3.16558973130808,-5.81506739035958,0.299
3.17867828438844,-5.80087064593662,0.3
3.19167530029276,-5.78690285795209,0.301
3.20453627250508,-5.77311744455433,0.302
3.21722742447641,-5.75942147662967,0.303
3.22972027956667,-5.74575897716221,0.304
3.242001938532,-5.73205697583177,0.305
3.25403860150804,-5.71823366737409,0.306
3.26577497994494,-5.70424316521236,0.307
3.27721784739834,-5.68999170916709,0.308
3.28833938459107,-5.67542123373178,0.309
3.29910386430985,-5.66046803730979,0.31
3.30949079982109,-5.64506814103002,0.311
3.31949771581102,-5.62914997040614,0.312
3.32907227312839,-5.61268289000032,0.313
3.33819835246726,-5.59560340101275,0.314
3.34690711865073,-5.57790415684237,0.315
3.35517654229293,-5.5595609676,0.316
3.36300025315957,-5.5405552408508,0.317
3.37037444625315,-5.52087198232813,0.318
3.37729538636314,-5.5004587957947,0.319
3.38374897194181,-5.47929980322303,0.32
3.38971132502674,-5.45736030951859,0.321
3.39515677588227,-5.43461844707583,0.322
3.40008354254266,-5.41106238087891,0.323
3.40449040569572,-5.38665441373139,0.324
3.40837036143868,-5.36139748247798,0.325
3.41169988223249,-5.3352730322454,0.326
3.41448274270697,-5.30828772850482,0.327
3.41671864279294,-5.28044191363003,0.328
3.41840467677028,-5.25174158684894,0.329
3.41954127699296,-5.22222427278827,0.33
3.42014067911605,-5.19188289719026,0.331
3.42019397328206,-5.16074679158584,0.332
3.41970382865102,-5.12885041445554,0.333
3.41867367440357,-5.09622250525396,0.334
3.4171033230717,-5.06293316985861,0.335
3.41500884862564,-5.02898061246703,0.336
3.41239404986722,-4.99441402321633,0.337
3.409247825243,-4.95928194091965,0.338
3.40557463688913,-4.92362663709956,0.339
3.40138450758045,-4.88750540584864,0.34
3.3966844545747,-4.85095979609438,0.341
3.39150742743326,-4.81403185250151,0.342
3.38585851657301,-4.77677744838847,0.343
3.37973981307266,-4.73924484157024,0.344
3.37318269508695,-4.70149871391577,0.345
3.36621569452151,-4.66355883639508,0.346
3.35886580739144,-4.62550778761464,0.347
3.35113273190186,-4.58738034472324,0.348
3.34302035448693,-4.54921207238894,0.349
3.33457156647027,-4.51107127242014,0.35
3.32580343954898,-4.47297324055305,0.351
3.31673028996364,-4.43501470821127,0.352
3.30736374662714,-4.39720148577697,0.353
3.29773218651462,-4.35960566315205,0.354
3.28786833234794,-4.32224302171512,0.355
3.27779292234277,-4.28516905760123,0.356
3.26754238710662,-4.24843966814134,0.357
3.25712168137554,-4.21204056731663,0.358
3.24655643414892,-4.17603935251742,0.359
3.23587380909297,-4.14044795849729,0.36
3.2251238601303,-4.10530155221302,0.361
3.21436984446922,-4.07059557654195,0.362
3.20360305626392,-4.03634895379968,0.363
3.19287718435416,-4.00259654118075,0.364
3.18224792185588,-3.96933085286253,0.365
3.17176586646797,-3.93657778482125,0.366
