Drag (N),Lift (N),Time (s)
-2.174,3.483,0
-2.14734377891732,3.47860384768225,0.001
-2.12069826196628,3.47418913010619,0.002
-2.09407514947942,3.46975013120503,0.003
-2.06749702656619,3.4652930349128,0.004
-2.04097257960761,3.46079369680316,0.005
-2.01451055056354,3.45625627708978,0.006
-1.98813496662509,3.45168287775445,0.007
-1.96185223582379,3.44706514743656,0.008
-1.93566728548197,3.44239754690501,0.009
-1.90958707295426,3.43766633781903,0.01
-1.88362822852434,3.43287507796204,0.011
-1.85779206403658,3.42802843564962,0.012
-1.8320908586378,3.42313036655188,0.013
-1.80651760564928,3.41818575545533,0.014
-1.7810807998208,3.41319813462997,0.015
-1.7557862745026,3.40816377831921,0.016
-1.73064583058021,3.40308382645495,0.017
-1.70566302970453,3.3979308502929,0.018
-1.68083837040184,3.39271830369069,0.019
-1.65616027525839,3.38745003193717,0.02
-1.63164603024176,3.38213236064209,0.021
-1.60730881631204,3.37677289440403,0.022
-1.5831410375515,3.37138122852568,0.023
-1.55914893684525,3.36593172742662,0.024
-1.53534070755744,3.36042574319141,0.025
-1.51172628908483,3.3548755799629,0.026
-1.48829848341092,3.34928157169668,0.027
-1.46505604148943,3.34362431108666,0.028
-1.44201940793698,3.33792792044198,0.029
-1.41919695115509,3.33217527903445,0.03
-1.39658392365923,3.32637396329088,0.031
-1.37417717216856,3.32052618590187,0.032
-1.35199890748094,3.31463581840272,0.033
-1.33004168786776,3.30870774287682,0.034
-1.3083046892943,3.30275259056997,0.035
-1.28679824454511,3.2967704267521,0.036
-1.26551987469862,3.29076033111244,0.037
-1.2444663737585,3.28475937962147,0.038
-1.22363847536651,3.2787486999255,0.039
-1.20303661514386,3.27274632386876,0.04
-1.18265841639377,3.2667756278628,0.041
-1.16251408598984,3.26082100483961,0.042
-1.14259935730056,3.25490380857119,0.043
-1.12290489527461,3.24903543558363,0.044
-1.10343533882231,3.2432143262229,0.045
-1.08418725706606,3.23745269072739,0.046
-1.06516017572789,3.23177783229418,0.047
-1.04635727611159,3.22617366170435,0.048
-1.02777255946451,3.22066777491653,0.049
-1.00940400594092,3.21526491246519,0.05
-0.991261849979191,3.20996089950859,0.051
-0.973342163622214,3.20476843353828,0.052
-0.955633179280616,3.19969151757109,0.053
-0.938134732008042,3.19473215704772,0.054
-0.920852589345041,3.18986952342732,0.055
-0.903771495991488,3.18513415875504,0.056
-0.886881977725455,3.18050421893813,0.057
-0.870186678204884,3.17599057658207,0.058
-0.853666059533667,3.1715905358894,0.059
-0.8373142431245,3.1672904847156,0.06
-0.821134678326163,3.16308667539119,0.061
-0.805107207060648,3.15899953340807,0.062
-0.789221893516522,3.15501006517005,0.063
-0.77347485649426,3.15110913350502,0.064
-0.757861354355697,3.1473299352568,0.065
-0.742365681648243,3.14365306930545,0.066
-0.727003549469018,3.14006951841215,0.067
-0.711756907775908,3.13658617653968,0.068
-0.696632065487947,3.13319706093922,0.069
-0.681647495986502,3.12989887319816,0.07
-0.666793584312469,3.12670817847659,0.071
-0.652074632797335,3.12362448892139,0.072
-0.637511629303363,3.12063428876811,0.073
-0.623110784923242,3.11776730117233,0.074
-0.608863866900503,3.11499949068732,0.075
-0.59477682706462,3.11233896004671,0.076
-0.580864991738724,3.10981138788948,0.077
-0.567137186595728,3.10737574693861,0.078
-0.553586589371911,3.10503064103643,0.079
-0.540213145476072,3.10281325677424,0.08
-0.527021343131301,3.10071013096854,0.081
-0.514001774496388,3.09871436857119,0.082
-0.501146768747993,3.09683313824928,0.083
-0.488469135042423,3.09504095279903,0.084
-0.475955310893227,3.09333572645018,0.085
-0.463599671381911,3.09173501356122,0.086
-0.451393315878794,3.09023812443806,0.087
-0.439331012182617,3.08882842856354,0.088
-0.427414012571823,3.08752156162707,0.089
-0.415636397001889,3.08629494912554,0.09
-0.403982738878681,3.085140317652,0.091
-0.392452889657338,3.08404112425391,0.092
-0.381020713587018,3.08299156672871,0.093
-0.369680119576094,3.08199601608791,0.094
-0.358428102415738,3.0810548436278,0.095
-0.347243858502318,3.08015676665615,0.096
-0.3361021187528,3.07929800604031,0.097
-0.324993354526974,3.07846729050363,0.098
-0.313896598944486,3.07767734472906,0.099
-0.302778012190469,3.07691094969697,0.1
-0.291622971006017,3.07617481140789,0.101
-0.280402779192355,3.0754698239703,0.102
-0.269082261633018,3.07481832321488,0.103
-0.25764581481724,3.07420463903212,0.104
-0.246073984391707,3.07360836272621,0.105
-0.234342860195709,3.07304972882162,0.106
