Lift Mean,Drag Mean,Phase Angle,Velocity,AOA
1.76900747582325,1.18328638592267,0,10,-2.5
1.41036308070363,0.626539820202662,120,10,-2.5
1.32438622149129,0.724393212876388,160,10,-2.5
1.33418492761822,0.881378247619534,200,10,-2.5
1.42354637361425,1.12707222959334,240,10,-2.5
1.50272598692531,1.23400230983879,280,10,-2.5
1.65602637300293,1.35997331517718,320,10,-2.5
1.78233438343617,1.35175433671866,360,10,-2.5
1.70446118517269,0.867204197190145,40,10,-2.5
1.51746505968042,0.49338769951261,80,10,-2.5
2.03620237114115,1.67414221244569,0,12,-2.5
1.48247383042192,0.851661292569688,120,12,-2.5
1.44864496195067,1.00970534333764,160,12,-2.5
1.48960645218369,1.41653931068466,200,12,-2.5
1.66110688609892,1.76440146990463,240,12,-2.5
1.82997207997842,2.02024506462754,280,12,-2.5
1.98832472099419,1.73896072407405,320,12,-2.5
1.99032616282246,1.54237639268369,360,12,-2.5
1.78492652284414,0.893842638714143,40,12,-2.5
1.59008053205815,0.61276027333373,80,12,-2.5
0.446719521041298,1.10763877666896,0,14,-2.5
-1.25446787504045,0.169582858817202,120,14,-2.5
-1.33793420779865,0.606462188101358,160,14,-2.5
-1.29354096739667,1.13889666401733,200,14,-2.5
-0.929488245696395,1.77918870124821,240,14,-2.5
-0.766324665036319,1.90559086822957,280,14,-2.5
-0.358241759302601,2.46042622049171,320,14,-2.5
-0.744740219772749,1.16268042626973,360,14,-2.5
-0.687973555448338,0.149294898856697,40,14,-2.5
-1.15790084648198,-0.268907014339387,80,14,-2.5
1.61973758234789,0.923187375451898,0,8,-2.5
1.29571169601032,0.485601671172,120,8,-2.5
1.25292821187466,0.536510455836033,160,8,-2.5
1.25303848069476,0.650693818187145,200,8,-2.5
1.31658957146246,0.725498572253569,240,8,-2.5
1.37669824194706,0.856322517612789,280,8,-2.5
1.51976904443948,0.999002134015582,320,8,-2.5
1.59734102574617,0.995641138245577,360,8,-2.5
1.56095537049282,0.759350116086777,40,8,-2.5
1.39167337030362,0.466936230001067,80,8,-2.5
1.63281819778502,0.844628583962472,0,10,-5
1.32190507947743,0.59075279034331,120,10,-5
1.3180801974546,0.717552690456576,160,10,-5
1.32234816549513,0.890817927959774,200,10,-5
1.43727506363226,1.08440381933057,240,10,-5
1.56999938249919,1.23955374727815,280,10,-5
1.69668801558818,1.22650621313277,320,10,-5
1.69312264946551,0.965346294240775,360,10,-5
1.58802227258944,0.545457670446867,40,10,-5
1.38630549053542,0.445691075827138,80,10,-5
1.96820172859012,1.40076452109993,0,12,-5
1.3902355008773,0.722725636114583,120,12,-5
1.44399351045292,0.958788151456024,160,12,-5
1.50342389463474,1.32798569362596,200,12,-5
1.62321418320345,1.57094673884747,240,12,-5
1.74629716138478,1.76710590896522,280,12,-5
1.89853888540209,1.77878167906965,320,12,-5
1.98742169420354,1.48694369212162,360,12,-5
1.64479896056102,0.537440247320429,40,12,-5
1.53775072120259,0.548022585121772,80,12,-5
0.932396131020267,1.01945392536071,0,14,-5
5.1461071186317,1.99224539794023,120,14,-5
5.11070341505143,2.42575347221498,160,14,-5
5.26957719312063,2.90578257686328,200,14,-5
5.53709742288804,3.12118842571444,240,14,-5
5.74021215505477,3.13841945235529,280,14,-5
3.08729894141505,2.9125658144741,320,14,-5
2.19440531036359,1.84552997401773,360,14,-5
4.17160979868951,0.736448841542039,40,14,-5
5.22151919641298,1.57938982512706,80,14,-5
1.4925757941297,0.589798947479416,0,8,-5
1.26150462753897,0.457088888426604,120,8,-5
1.24570722296328,0.528316532311747,160,8,-5
1.24823555852678,0.600231765856571,200,8,-5
1.31763230388531,0.677758152276761,240,8,-5
1.41060988580228,0.834711577233404,280,8,-5
1.5495103588432,0.89023890157078,320,8,-5
1.54406213041585,0.709095328872055,360,8,-5
1.50713019360466,0.531711471235096,40,8,-5
1.32114355886177,0.368833831489471,80,8,-5
0.701615777777778,1.24511677777778,0,10,0
0.0138030555555556,0.275322666666666,120,10,0
-0.120384666666667,0.307365777777778,160,10,0
-0.111029259259259,0.526515074074073,200,10,0
-0.0401332631578947,0.798836210526316,240,10,0
0.173580115384615,1.18071096153846,280,10,0
0.248254318181818,1.17333495454546,320,10,0
0.326340399999999,1.0013353,360,10,0
0.305378354838709,0.572134258064516,40,10,0
0.165391130434782,0.265258304347826,80,10,0
0.587970333333334,1.24059391666667,0,12,0
-0.254366243243243,0.323096351351351,120,12,0
-0.307881022727273,0.508402386363636,160,12,0
-0.286049916666666,0.769877729166668,200,12,0
-0.103065651162791,1.22729225581395,240,12,0
