-2.665	4.168	0.484	0.023	0.087	-0.001
-2.917	3.899	0.977	0.019	0.095	0.002
-2.381	3.888	0.653	0.019	0.079	0.005
-2.313	3.773	0.185	0.025	0.069	0.005
-2.638	3.986	0.448	0.047	0.081	0.002
-2.739	4.089	0.647	0.052	0.097	-0.001
-2.931	3.876	1.015	0.050	0.104	0.004
-2.567	4.487	0.882	0.048	0.096	-0.011
-2.199	4.203	1.087	0.041	0.086	-0.013
-2.193	4.484	1.569	0.039	0.098	-0.022
-1.954	4.549	1.443	0.048	0.080	-0.039
-2.209	4.631	1.044	0.056	0.078	-0.050
-2.075	3.696	0.308	0.063	0.052	-0.049
-1.577	4.021	1.353	0.063	0.059	-0.063
-1.592	3.802	2.108	0.055	0.070	-0.054
-1.484	3.798	3.152	0.041	0.084	-0.055
-1.441	4.311	3.101	0.048	0.081	-0.059
-1.416	4.048	2.435	0.045	0.075	-0.053
-1.929	4.055	1.965	0.051	0.086	-0.040
-1.972	3.932	1.790	0.049	0.080	-0.038
-1.986	4.125	1.239	0.042	0.079	-0.027
-2.290	3.676	0.912	0.039	0.079	-0.011
-2.552	4.310	1.665	0.043	0.106	-0.013
-2.639	4.177	2.134	0.047	0.118	-0.008
-2.626	4.103	2.217	0.041	0.119	-0.005
-2.585	4.207	1.436	0.058	0.101	-0.013
-2.948	4.101	1.717	0.060	0.112	-0.016
-2.999	4.174	2.465	0.070	0.122	-0.022
-2.440	4.243	2.439	0.072	0.108	-0.034
-2.226	4.672	1.820	0.070	0.094	-0.042
-2.581	3.858	1.685	0.080	0.083	-0.047
-2.268	4.799	1.334	0.083	0.088	-0.053
-2.291	4.101	1.359	0.086	0.084	-0.054
-2.297	4.728	0.903	0.085	0.075	-0.057
-1.590	4.182	0.256	0.091	0.046	-0.063
-1.706	3.845	-0.882	0.087	0.034	-0.045
-1.930	4.208	-0.703	0.093	0.044	-0.048
-1.919	3.895	-1.231	0.090	0.034	-0.035
-1.537	4.153	-2.259	0.078	0.022	-0.022
-1.895	3.641	-2.793	0.079	0.019	-0.007
-2.320	4.115	-3.601	0.079	0.026	0.002
-2.134	3.919	-3.420	0.076	0.029	0.013
-2.465	3.772	-3.939	0.058	0.039	0.030
-2.179	3.454	-3.963	0.054	0.021	0.030
-2.278	3.159	-5.111	0.044	0.002	0.036
-2.338	3.202	-5.802	0.046	-0.006	0.040
-2.130	2.969	-4.827	0.051	-0.003	0.032
-2.382	2.995	-5.349	0.041	-0.000	0.043
-2.350	2.740	-4.535	0.045	0.005	0.035
-2.145	3.659	-4.100	0.047	0.018	0.027
-2.286	3.094	-3.056	0.045	0.030	0.025
-2.227	3.191	-3.529	0.034	0.029	0.030
-2.266	2.996	-3.660	0.024	0.012	0.025
-1.816	2.893	-5.545	0.034	-0.029	0.021
-2.007	3.291	-6.446	0.056	-0.030	0.016
-2.113	2.752	-6.045	0.066	-0.020	0.020
-1.994	3.170	-5.997	0.052	-0.016	0.028
-2.122	3.265	-5.060	0.047	-0.009	0.024
-1.864	3.581	-5.391	0.052	-0.008	0.027
-2.023	3.394	-5.085	0.049	-0.001	0.032
-2.482	2.967	-5.118	0.052	0.003	0.039
-2.101	3.017	-6.285	0.061	-0.020	0.033
-2.078	3.288	-7.213	0.062	-0.038	0.031
-2.071	3.152	-7.808	0.068	-0.041	0.032
-2.286	3.276	-6.837	0.060	-0.020	0.036
-1.958	3.480	-5.791	0.051	-0.011	0.031
-2.038	3.234	-5.645	0.048	-0.015	0.027
-2.118	3.328	-6.029	0.051	-0.017	0.029
-2.177	2.935	-5.041	0.062	-0.002	0.023
-1.863	3.299	-4.744	0.059	0.002	0.022
-1.853	2.884	-3.941	0.044	0.003	0.019
-1.863	3.162	-4.295	0.044	-0.004	0.018
-2.037	2.872	-3.616	0.046	0.007	0.012
-2.342	3.519	-3.296	0.049	0.025	0.015
-2.179	3.220	-2.739	0.049	0.027	0.012
-2.062	3.467	-3.698	0.059	0.021	0.013
-2.604	3.333	-3.642	0.055	0.030	0.015
-2.517	3.404	-3.066	0.055	0.033	0.017
-2.371	3.631	-2.831	0.046	0.038	0.013
-2.399	3.305	-3.304	0.050	0.024	0.019
-2.375	3.595	-3.696	0.066	0.025	0.009
-2.125	3.813	-3.901	0.071	0.021	0.003
-2.164	3.730	-2.988	0.065	0.029	0.002
-2.199	3.387	-3.280	0.067	0.027	0.008
-1.863	3.610	-2.636	0.069	0.022	-0.007
-1.802	3.512	-3.217	0.067	0.016	-0.002
-2.019	3.401	-2.846	0.068	0.023	-0.005
-2.064	3.669	-2.842	0.069	0.025	-0.008
-1.705	3.096	-3.494	0.076	0.003	-0.013
-1.888	3.641	-3.166	0.074	0.017	-0.012
-1.775	2.946	-2.076	0.072	0.022	-0.015
-1.913	3.875	-2.502	0.078	0.031	-0.012
-2.031	3.228	-3.007	0.084	0.023	-0.003
-2.305	3.585	-2.693	0.087	0.037	-0.005
-2.716	3.777	-2.336	0.081	0.048	0.002
-2.600	3.860	-2.128	0.069	0.061	0.011
-2.137	3.697	-2.184	0.075	0.044	0.003
-2.592	4.057	-3.283	0.084	0.038	0.006
-2.869	3.854	-3.179	0.087	0.050	0.004
-2.758	3.933	-2.944	0.088	0.046	0.004
-2.546	3.819	-3.345	0.077	0.041	0.007
-2.482	3.451	-2.800	0.081	0.037	0.002
-2.752	3.721	-2.804	0.077	0.051	0.008
-2.212	4.094	-2.000	0.084	0.045	-0.012
-2.298	3.518	-3.073	0.077	0.034	0.001
-2.111	3.268	-3.731	0.080	0.006	-0.006
-2.008	3.300	-3.831	0.083	0.007	-0.004
-2.003	3.251	-3.971	0.084	0.007	-0.009
-1.815	3.550	-4.719	0.087	-0.005	-0.002
-1.886	2.940	-5.247	0.082	-0.016	0.004
-1.753	3.257	-5.439	0.086	-0.019	0.004
-1.985	3.393	-5.180	0.085	-0.001	0.011
-2.101	3.395	-5.503	0.085	-0.005	0.016
-2.162	2.883	-5.996	0.087	-0.013	0.022
-1.724	3.531	-6.050	0.093	-0.015	0.021
-1.877	3.588	-5.742	0.100	-0.001	0.018
-2.310	2.979	-5.980	0.092	-0.007	0.027
-2.495	3.828	-6.313	0.101	-0.011	0.012
-2.275	3.360	-5.450	0.108	0.005	0.017
-2.342	3.417	-4.399	0.104	0.026	0.016
-2.445	3.825	-3.823	0.100	0.030	-0.001
-2.452	3.936	-4.381	0.104	0.012	-0.008
-2.161	3.444	-4.449	0.115	0.000	-0.014
