Drag (N),Lift (N),Time (s)
-1.118,3.229,0
-1.10962387152819,3.19722384261675,0.001
-1.10126136657009,3.16548548500301,0.002
-1.09292608842501,3.1338226739326,0.003
-1.08463160000892,3.10227305027745,0.004
-1.07639140377615,3.07087409628034,0.005
-1.06821892177688,3.0396630830955,0.006
-1.06012747589481,3.00867701868539,0.007
-1.05213026830917,2.97795259616127,0.008
-1.04424036222416,2.94752614265407,0.009
-1.03647066290835,2.917433568801,0.01
-1.0288338990855,2.88771031893195,0.011
-1.0213426047169,2.85839132203804,0.012
-1.01400910121457,2.82951094360315,0.013
-1.00684548012283,2.80110293837725,0.014
-0.999863586304402,2.77320040416814,0.015
-0.993075001665854,2.74583573672633,0.016
-0.986491029455019,2.71904058579483,0.017
-0.980122679161657,2.69284581239363,0.018
-0.973980652050422,2.66728144740555,0.019
-0.968075327353358,2.64237665152738,0.02
-0.962416749146989,2.61815967664738,0.021
-0.957014613936952,2.59465782870695,0.022
-0.9518782589709,2.57189743210105,0.023
-0.947016651298102,2.54990379566878,0.024
-0.942438377591853,2.52870118032197,0.025
-0.938151634748423,2.508312768356,0.026
-0.934164221273854,2.48876063448382,0.027
-0.930483529467514,2.47006571863002,0.028
-0.927116538408789,2.45224780051841,0.029
-0.924069807750908,2.43532547608266,0.03
-0.921349472323361,2.41931613572553,0.031
-0.918961237541959,2.4042359444488,0.032
-0.916910375623092,2.3900998238716,0.033
-0.915201722596366,2.37692143615131,0.034
-0.913839676107382,2.36471316981708,0.035
-0.912828194000079,2.35348612752232,0.036
-0.912170793665771,2.34325011571833,0.037
-0.911870552143762,2.33401363624778,0.038
-0.911930106956259,2.3257838798524,0.039
-0.912351657658182,2.31856672158611,0.04
-0.913136968080471,2.31236671812048,0.041
-0.914287369243535,2.30718710692617,0.042
-0.915803762915683,2.30302980731019,0.043
-0.917686625789582,2.29989542328552,0.044
-0.919936014248232,2.29778324824591,0.045
-0.922551569690361,2.29669127141575,0.046
-0.925532524383785,2.29661618604141,0.047
