# drag,lift,t
1.079767430858824540e+00,1.003079598513318516e+01,0.000000000000000000e+00
1.111505699904373756e+00,1.032391692021327501e+01,1.250000000000000026e-03
1.011795290034239736e-01,1.842096322124512353e+00,2.500000000000000052e-03
8.670068370528312418e-02,1.736329999963835968e+00,3.749999999999999861e-03
8.152863653203218375e-02,1.699388089959346093e+00,5.000000000000000104e-03
7.718758426228711222e-02,1.661659432197972519e+00,6.250000000000000347e-03
7.396608232015408624e-02,1.627330229473515688e+00,7.499999999999999722e-03
7.143652089942038874e-02,1.594104350438497075e+00,8.750000000000000833e-03
6.939497321375216743e-02,1.561304892445663617e+00,1.000000000000000021e-02
6.769652826867289530e-02,1.528551118445503842e+00,1.124999999999999958e-02
6.623988647453009360e-02,1.495676959739436596e+00,1.250000000000000069e-02
6.495108588731754451e-02,1.462626604142883480e+00,1.375000000000000007e-02
6.377484803450741979e-02,1.429405212647688161e+00,1.499999999999999944e-02
6.266916487986408379e-02,1.396050905241031037e+00,1.625000000000000056e-02
6.160181590770716364e-02,1.362618893973516432e+00,1.750000000000000167e-02
6.054802138817295259e-02,1.329172280616584212e+00,1.874999999999999931e-02
5.948880055841205411e-02,1.295776678980508301e+00,2.000000000000000042e-02
5.840978333107939985e-02,1.262497082189749209e+00,2.125000000000000153e-02
5.730032398971771079e-02,1.229396073836735770e+00,2.249999999999999917e-02
5.610553370845128285e-02,1.196125436606520820e+00,2.375000000000000028e-02
5.485778218744977175e-02,1.163064200540639526e+00,2.500000000000000139e-02
5.362430102725592590e-02,1.130873011551687179e+00,2.624999999999999903e-02
5.234390345999112570e-02,1.099079019143204938e+00,2.750000000000000014e-02
5.101566237935845072e-02,1.067715343123793348e+00,2.875000000000000125e-02
4.964130278866873969e-02,1.036824149524293359e+00,2.999999999999999889e-02
4.822323945088794611e-02,1.006441428128832083e+00,3.125000000000000000e-02
4.676469746112865700e-02,9.765997999737495716e-01,3.250000000000000111e-02
4.526955215092215434e-02,9.473286679162646884e-01,3.375000000000000222e-02
4.374220536753540417e-02,9.186545123589663353e-01,3.500000000000000333e-02
4.218747049311203506e-02,8.906011089996183072e-01,3.624999999999999750e-02
4.061046999564672799e-02,8.631897203444740541e-01,3.749999999999999861e-02
3.901654429335523616e-02,8.364392660005236513e-01,3.874999999999999972e-02
3.741117080543091000e-02,8.103664752534560645e-01,4.000000000000000083e-02
3.579989209004315331e-02,7.849860236934874669e-01,4.125000000000000194e-02
3.419632129784799107e-02,7.603842103303231070e-01,4.250000000000000305e-02
3.260688919661455104e-02,7.365811721706362336e-01,4.375000000000000416e-02
3.100920673124133234e-02,7.133313521130135726e-01,4.499999999999999833e-02
2.942736273382782347e-02,6.908153544839296112e-01,4.624999999999999944e-02
2.786715573098839938e-02,6.690462251665789672e-01,4.750000000000000056e-02
2.633308009008917400e-02,6.480253872244290392e-01,4.875000000000000167e-02
2.482965596077011533e-02,6.277553366421682046e-01,5.000000000000000278e-02
2.336114306214247954e-02,6.082372798286377336e-01,5.125000000000000389e-02
2.193152111371189303e-02,5.894711945089154970e-01,5.249999999999999806e-02
2.054446437400694880e-02,5.714557914773283898e-01,5.374999999999999917e-02
1.920332669291160282e-02,5.541885366598378049e-01,5.500000000000000028e-02
1.791113100793560384e-02,5.376656804870768580e-01,5.625000000000000139e-02
1.667056236118485274e-02,5.218822890182038821e-01,5.750000000000000250e-02
1.548396388903989368e-02,5.068322744051413364e-01,5.875000000000000361e-02
1.435333548363090794e-02,4.925084244010135004e-01,5.999999999999999778e-02
1.328033489879897749e-02,4.789024311547057100e-01,6.124999999999999889e-02
1.226628110058071777e-02,4.660049196604100219e-01,6.250000000000000000e-02
1.131215967615584531e-02,4.538054762482860993e-01,6.375000000000000111e-02
1.041863012288078011e-02,4.422926774714996956e-01,6.500000000000000222e-02
9.586034844083012041e-03,4.314541196974783221e-01,6.625000000000000333e-02
8.814409685446056297e-03,4.212764496905906930e-01,6.750000000000000444e-02
8.103495846632564892e-03,4.117453963976784870e-01,6.875000000000000555e-02
7.452753009638270545e-03,4.028458041331302031e-01,7.000000000000000666e-02
6.861373528089977601e-03,3.945616673080507009e-01,7.125000000000000777e-02
6.325276178856086527e-03,3.868451467365624508e-01,7.249999999999999500e-02
5.845543043881816503e-03,3.797028100512016002e-01,7.374999999999999611e-02
5.427196445653744393e-03,3.731839300719207442e-01,7.499999999999999722e-02
5.062992727267503698e-03,3.672127153293680002e-01,7.624999999999999833e-02
4.751242898825564463e-03,3.617717054670910870e-01,7.749999999999999944e-02
4.489627850205839266e-03,3.568380292442992485e-01,7.875000000000000056e-02
4.275878723445514749e-03,3.523903331821698348e-01,8.000000000000000167e-02
4.107614011682048441e-03,3.484069644634267826e-01,8.125000000000000278e-02
3.982345405259643534e-03,3.448659017386255798e-01,8.250000000000000389e-02
3.897487917214268339e-03,3.417447325762844046e-01,8.375000000000000500e-02
3.850375229919999337e-03,3.390206899661398210e-01,8.500000000000000611e-02
3.819262630268964107e-03,3.364670889154326994e-01,8.625000000000000722e-02
3.815971479799163540e-03,3.342159612582574213e-01,8.750000000000000833e-02
3.867817565334935072e-03,3.325684818921963992e-01,8.874999999999999556e-02
3.946628733951327433e-03,3.312286700639232029e-01,8.999999999999999667e-02
4.048024707368093680e-03,3.301559697740243937e-01,9.124999999999999778e-02
4.169751746104823076e-03,3.293328120678110649e-01,9.249999999999999889e-02
4.309059238627606023e-03,3.287360941773665446e-01,9.375000000000000000e-02
4.463203616848817473e-03,3.283425572848775453e-01,9.500000000000000111e-02
